Pertanyaan,Jawaban
"Apa bidang usaha PT INFRATEKNO SARANA JAYA?","PT INFRATEKNO SARANA JAYA bergerak di bidang Jasa Khusus Menengah dan Besar - Non Konstruksi (PEST CONTROL, SUBKON)."
"Dimana lokasi atau provinsi PT INFRATEKNO SARANA JAYA?","PT INFRATEKNO SARANA JAYA berlokasi di DKI Jakarta."
"Apa kualifikasi perusahaan untuk PT INFRATEKNO SARANA JAYA?","Kualifikasi perusahaan PT INFRATEKNO SARANA JAYA adalah PT."
"Siapa PRASTIMIARSO?","PRASTIMIARSO adalah vendor dengan status Rekanan Terdaftar, kualifikasi PT, di bidang Supplier Besar, berlokasi di Kalimantan Timur. Kode SBU: BG009."
"Bagaimana status rekanan PRASTIMIARSO?","PRASTIMIARSO memiliki status rekanan Rekanan Terdaftar."
"Apa bidang usaha PRASTIMIARSO?","PRASTIMIARSO bergerak di bidang Supplier Besar (ELECTRICAL PANELS ( HV , MV , LV ), SUPPLIER ;)."
"Dimana lokasi atau provinsi PRASTIMIARSO?","PRASTIMIARSO berlokasi di Kalimantan Timur."
"Apa kualifikasi perusahaan untuk PRASTIMIARSO?","Kualifikasi perusahaan PRASTIMIARSO adalah PT."
"Siapa Cipta Graha Kreasitama?","Cipta Graha Kreasitama adalah vendor dengan status Registered, kualifikasi PT, di bidang Supplier Menengah, berlokasi di DKI Jakarta. Kode SBU: BS002."
"Bagaimana status rekanan Cipta Graha Kreasitama?","Cipta Graha Kreasitama memiliki status rekanan Registered."
"Apa bidang usaha Cipta Graha Kreasitama?","Cipta Graha Kreasitama bergerak di bidang Supplier Menengah (Tidak diketahui)."
"Dimana lokasi atau provinsi Cipta Graha Kreasitama?","Cipta Graha Kreasitama berlokasi di DKI Jakarta."
"Apa kualifikasi perusahaan untuk Cipta Graha Kreasitama?","Kualifikasi perusahaan Cipta Graha Kreasitama adalah PT."
"Siapa BERSAMA BANGUN KARYA?","BERSAMA BANGUN KARYA adalah vendor dengan status Rekanan Terdaftar, kualifikasi PT, di bidang Supplier Menengah, berlokasi di Jawa Tengah. Kode SBU: BG009."
"Bagaimana status rekanan BERSAMA BANGUN KARYA?","BERSAMA BANGUN KARYA memiliki status rekanan Rekanan Terdaftar."
"Apa bidang usaha BERSAMA BANGUN KARYA?","BERSAMA BANGUN KARYA bergerak di bidang Supplier Menengah (BETON READY MIX, SUPPLIER)."
"Dimana lokasi atau provinsi BERSAMA BANGUN KARYA?","BERSAMA BANGUN KARYA berlokasi di Jawa Tengah."
"Apa kualifikasi perusahaan untuk BERSAMA BANGUN KARYA?","Kualifikasi perusahaan BERSAMA BANGUN KARYA adalah PT."
"Siapa PT KARSA INDRA SEJAHTERA?","PT KARSA INDRA SEJAHTERA adalah vendor dengan status Rekanan Terdaftar, kualifikasi PT, di bidang Sub Kontraktor Kecil dan Menengah, berlokasi di Jawa Barat. Kode SBU: BG001."
"Bagaimana status rekanan PT KARSA INDRA SEJAHTERA?","PT KARSA INDRA SEJAHTERA memiliki status rekanan Rekanan Terdaftar."
"Apa bidang usaha PT KARSA INDRA SEJAHTERA?","PT KARSA INDRA SEJAHTERA bergerak di bidang Sub Kontraktor Kecil dan Menengah (KONSTRUKSI JPO, SUBKON)."
"Dimana lokasi atau provinsi PT KARSA INDRA SEJAHTERA?","PT KARSA INDRA SEJAHTERA berlokasi di Jawa Barat."
"Apa kualifikasi perusahaan untuk PT KARSA INDRA SEJAHTERA?","Kualifikasi perusahaan PT KARSA INDRA SEJAHTERA adalah PT."
"Siapa GLORIOUS CASANA?","GLORIOUS CASANA adalah vendor dengan status Rekanan Terdaftar, kualifikasi PT, di bidang Supplier Besar, berlokasi di DKI Jakarta. Kode SBU: BS005."
"Bagaimana status rekanan GLORIOUS CASANA?","GLORIOUS CASANA memiliki status rekanan Rekanan Terdaftar."
"Apa bidang usaha GLORIOUS CASANA?","GLORIOUS CASANA bergerak di bidang Supplier Besar (PIPA HDPE & VALVE FITTINGS, SUPPLIER ;)."
"Dimana lokasi atau provinsi GLORIOUS CASANA?","GLORIOUS CASANA berlokasi di DKI Jakarta."
"Apa kualifikasi perusahaan untuk GLORIOUS CASANA?","Kualifikasi perusahaan GLORIOUS CASANA adalah PT."
"Siapa SILUGONGGO CIPTA KARYA?","SILUGONGGO CIPTA KARYA adalah vendor dengan status Rekanan Terdaftar, kualifikasi CV, di bidang Perusahaan Mikro dan Kecil (Supplier dan Non-Konstruksi), berlokasi di Banten. Kode SBU: BG006."
"Bagaimana status rekanan SILUGONGGO CIPTA KARYA?","SILUGONGGO CIPTA KARYA memiliki status rekanan Rekanan Terdaftar."
"Apa bidang usaha SILUGONGGO CIPTA KARYA?","SILUGONGGO CIPTA KARYA bergerak di bidang Perusahaan Mikro dan Kecil (Supplier dan Non-Konstruksi) (Tidak diketahui)."
"Dimana lokasi atau provinsi SILUGONGGO CIPTA KARYA?","SILUGONGGO CIPTA KARYA berlokasi di Banten."
"Apa kualifikasi perusahaan untuk SILUGONGGO CIPTA KARYA?","Kualifikasi perusahaan SILUGONGGO CIPTA KARYA adalah CV."
"Siapa ABDI LESTARI?","ABDI LESTARI adalah vendor dengan status Rekanan Terdaftar, kualifikasi PT, di bidang Sub Kontraktor Kecil dan Menengah, berlokasi di DKI Jakarta. Kode SBU: BS010."
"Bagaimana status rekanan ABDI LESTARI?","ABDI LESTARI memiliki status rekanan Rekanan Terdaftar."
"Apa bidang usaha ABDI LESTARI?","ABDI LESTARI bergerak di bidang Sub Kontraktor Kecil dan Menengah (ERECTION GIRDER, SUBKON)."
"Dimana lokasi atau provinsi ABDI LESTARI?","ABDI LESTARI berlokasi di DKI Jakarta."
"Apa kualifikasi perusahaan untuk ABDI LESTARI?","Kualifikasi perusahaan ABDI LESTARI adalah PT."
"Siapa ARKONS SATYA KONSULTAN?","ARKONS SATYA KONSULTAN adalah vendor dengan status Calon Rekanan Waskita Approved Level 1, kualifikasi PT, di bidang Supplier Menengah, berlokasi di DKI Jakarta. Kode SBU: RK002."
"Bagaimana status rekanan ARKONS SATYA KONSULTAN?","ARKONS SATYA KONSULTAN memiliki status rekanan Calon Rekanan Waskita Approved Level 1."
"Apa bidang usaha ARKONS SATYA KONSULTAN?","ARKONS SATYA KONSULTAN bergerak di bidang Supplier Menengah (Tidak diketahui)."
"Dimana lokasi atau provinsi ARKONS SATYA KONSULTAN?","ARKONS SATYA KONSULTAN berlokasi di DKI Jakarta."
"Apa kualifikasi perusahaan untuk ARKONS SATYA KONSULTAN?","Kualifikasi perusahaan ARKONS SATYA KONSULTAN adalah PT."
"Siapa TIRTA BUMI NAGA?","TIRTA BUMI NAGA adalah vendor dengan status Rekanan Terdaftar, kualifikasi PT, di bidang Supplier Menengah, berlokasi di DKI Jakarta. Kode SBU: BG003."
"Bagaimana status rekanan TIRTA BUMI NAGA?","TIRTA BUMI NAGA memiliki status rekanan Rekanan Terdaftar."
"Apa bidang usaha TIRTA BUMI NAGA?","TIRTA BUMI NAGA bergerak di bidang Supplier Menengah (PIPA BLACKSTEEL & GALVANIS & VALVE FITTINGS, SUPPLIER ;)."
"Dimana lokasi atau provinsi TIRTA BUMI NAGA?","TIRTA BUMI NAGA berlokasi di DKI Jakarta."
"Apa kualifikasi perusahaan untuk TIRTA BUMI NAGA?","Kualifikasi perusahaan TIRTA BUMI NAGA adalah PT."
"Siapa TENSINDO KREASI NUSANTARA?","TENSINDO KREASI NUSANTARA adalah vendor dengan status Unverified, kualifikasi PT, di bidang Supplier Menengah, berlokasi di Jawa Barat. Kode SBU: BS002."
"Bagaimana status rekanan TENSINDO KREASI NUSANTARA?","TENSINDO KREASI NUSANTARA memiliki status rekanan Unverified."
"Apa bidang usaha TENSINDO KREASI NUSANTARA?","TENSINDO KREASI NUSANTARA bergerak di bidang Supplier Menengah (Tidak diketahui)."
"Dimana lokasi atau provinsi TENSINDO KREASI NUSANTARA?","TENSINDO KREASI NUSANTARA berlokasi di Jawa Barat."
"Apa kualifikasi perusahaan untuk TENSINDO KREASI NUSANTARA?","Kualifikasi perusahaan TENSINDO KREASI NUSANTARA adalah PT."
"Siapa SINAR SELATAN BANTEN?","SINAR SELATAN BANTEN adalah vendor dengan status Unverified, kualifikasi PT, di bidang Sub Kontraktor Kecil dan Menengah, berlokasi di Jawa Timur. Kode SBU: BG006."
"Bagaimana status rekanan SINAR SELATAN BANTEN?","SINAR SELATAN BANTEN memiliki status rekanan Unverified."
"Apa bidang usaha SINAR SELATAN BANTEN?","SINAR SELATAN BANTEN bergerak di bidang Sub Kontraktor Kecil dan Menengah (Tidak diketahui)."
"Dimana lokasi atau provinsi SINAR SELATAN BANTEN?","SINAR SELATAN BANTEN berlokasi di Jawa Timur."
"Apa kualifikasi perusahaan untuk SINAR SELATAN BANTEN?","Kualifikasi perusahaan SINAR SELATAN BANTEN adalah PT."
"Siapa ADITYA ENGINEERING CONSULTANT?","ADITYA ENGINEERING CONSULTANT adalah vendor dengan status Rekanan Terdaftar, kualifikasi Firma, di bidang Jasa Khusus Menengah dan Besar - Non Konstruksi, berlokasi di DKI Jakarta. Kode SBU: RK002."
"Bagaimana status rekanan ADITYA ENGINEERING CONSULTANT?","ADITYA ENGINEERING CONSULTANT memiliki status rekanan Rekanan Terdaftar."
"Apa bidang usaha ADITYA ENGINEERING CONSULTANT?","ADITYA ENGINEERING CONSULTANT bergerak di bidang Jasa Khusus Menengah dan Besar - Non Konstruksi (KONSULTAN HUKUM)."
"Dimana lokasi atau provinsi ADITYA ENGINEERING CONSULTANT?","ADITYA ENGINEERING CONSULTANT berlokasi di DKI Jakarta."
"Apa kualifikasi perusahaan untuk ADITYA ENGINEERING CONSULTANT?","Kualifikasi perusahaan ADITYA ENGINEERING CONSULTANT adalah Firma."
"Siapa STANDARD PILE?","STANDARD PILE adalah vendor dengan status Rekanan Terdaftar, kualifikasi PT, di bidang Supplier Menengah, berlokasi di Jawa Barat. Kode SBU: KK001."
"Bagaimana status rekanan STANDARD PILE?","STANDARD PILE memiliki status rekanan Rekanan Terdaftar."
"Apa bidang usaha STANDARD PILE?","STANDARD PILE bergerak di bidang Supplier Menengah (PRECAST SALURAN , KANSTIN , BARRIER & KOLOM PRAKTIS, SUPPLIER)."
"Dimana lokasi atau provinsi STANDARD PILE?","STANDARD PILE berlokasi di Jawa Barat."
"Apa kualifikasi perusahaan untuk STANDARD PILE?","Kualifikasi perusahaan STANDARD PILE adalah PT."
"Siapa NURSEJATI ANDHIKA?","NURSEJATI ANDHIKA adalah vendor dengan status Rekanan Terdaftar, kualifikasi PT, di bidang Konsultan Konstruksi, berlokasi di DKI Jakarta. Kode SBU: IN004."
"Bagaimana status rekanan NURSEJATI ANDHIKA?","NURSEJATI ANDHIKA memiliki status rekanan Rekanan Terdaftar."
"Apa bidang usaha NURSEJATI ANDHIKA?","NURSEJATI ANDHIKA bergerak di bidang Konsultan Konstruksi (JASA ARSITEKTUR LAINNYA, SUBKON ;)."
"Dimana lokasi atau provinsi NURSEJATI ANDHIKA?","NURSEJATI ANDHIKA berlokasi di DKI Jakarta."
"Apa kualifikasi perusahaan untuk NURSEJATI ANDHIKA?","Kualifikasi perusahaan NURSEJATI ANDHIKA adalah PT."
"Siapa CAHAYA FAJAR UTAMA?","CAHAYA FAJAR UTAMA adalah vendor dengan status Rekanan Terdaftar, kualifikasi PT, di bidang Perusahaan Mikro dan Kecil (Supplier dan Non-Konstruksi), berlokasi di Jawa Barat. Kode SBU: BS004."
"Bagaimana status rekanan CAHAYA FAJAR UTAMA?","CAHAYA FAJAR UTAMA memiliki status rekanan Rekanan Terdaftar."
"Apa bidang usaha CAHAYA FAJAR UTAMA?","CAHAYA FAJAR UTAMA bergerak di bidang Perusahaan Mikro dan Kecil (Supplier dan Non-Konstruksi) (ELECTRICAL PANELS ( HV , MV , LV ), SUPPLIER)."
"Dimana lokasi atau provinsi CAHAYA FAJAR UTAMA?","CAHAYA FAJAR UTAMA berlokasi di Jawa Barat."
"Apa kualifikasi perusahaan untuk CAHAYA FAJAR UTAMA?","Kualifikasi perusahaan CAHAYA FAJAR UTAMA adalah PT."
"Siapa KARYA SENTOSA?","KARYA SENTOSA adalah vendor dengan status Rekanan Terdaftar, kualifikasi PT, di bidang Sub Kontraktor Kecil dan Menengah,, berlokasi di DKI Jakarta. Kode SBU: BS001."
"Bagaimana status rekanan KARYA SENTOSA?","KARYA SENTOSA memiliki status rekanan Rekanan Terdaftar."
"Apa bidang usaha KARYA SENTOSA?","KARYA SENTOSA bergerak di bidang Sub Kontraktor Kecil dan Menengah, (PENYEDIA JASA K3 / SAFETY, SUBKON)."
"Dimana lokasi atau provinsi KARYA SENTOSA?","KARYA SENTOSA berlokasi di DKI Jakarta."
"Apa kualifikasi perusahaan untuk KARYA SENTOSA?","Kualifikasi perusahaan KARYA SENTOSA adalah PT."
"Siapa VSL JAYA INDONESIA?","VSL JAYA INDONESIA adalah vendor dengan status Rekanan Terseleksi Waskita, kualifikasi PT, di bidang Supplier Besar, berlokasi di DKI Jakarta. Kode SBU: KK013."
"Bagaimana status rekanan VSL JAYA INDONESIA?","VSL JAYA INDONESIA memiliki status rekanan Rekanan Terseleksi Waskita."
"Apa bidang usaha VSL JAYA INDONESIA?","VSL JAYA INDONESIA bergerak di bidang Supplier Besar (KAWAT BRONJONG / GABION, SUPPLIER)."
"Dimana lokasi atau provinsi VSL JAYA INDONESIA?","VSL JAYA INDONESIA berlokasi di DKI Jakarta."
"Apa kualifikasi perusahaan untuk VSL JAYA INDONESIA?","Kualifikasi perusahaan VSL JAYA INDONESIA adalah PT."
"Siapa TIGA SEKAWAN SERASI?","TIGA SEKAWAN SERASI adalah vendor dengan status Unverified, kualifikasi PT, di bidang Sub Kontraktor, berlokasi di DKI Jakarta. Kode SBU: BG004."
"Bagaimana status rekanan TIGA SEKAWAN SERASI?","TIGA SEKAWAN SERASI memiliki status rekanan Unverified."
"Apa bidang usaha TIGA SEKAWAN SERASI?","TIGA SEKAWAN SERASI bergerak di bidang Sub Kontraktor (Tidak diketahui)."
"Dimana lokasi atau provinsi TIGA SEKAWAN SERASI?","TIGA SEKAWAN SERASI berlokasi di DKI Jakarta."
"Apa kualifikasi perusahaan untuk TIGA SEKAWAN SERASI?","Kualifikasi perusahaan TIGA SEKAWAN SERASI adalah PT."
"Siapa INDOTAMA SAKTI SEJAHTERA?","INDOTAMA SAKTI SEJAHTERA adalah vendor dengan status Registered, kualifikasi PT, di bidang Perusahaan Mikro dan Kecil (Supplier dan Non-Konstruksi), berlokasi di Jawa Barat. Kode SBU: BG002."
"Bagaimana status rekanan INDOTAMA SAKTI SEJAHTERA?","INDOTAMA SAKTI SEJAHTERA memiliki status rekanan Registered."
"Apa bidang usaha INDOTAMA SAKTI SEJAHTERA?","INDOTAMA SAKTI SEJAHTERA bergerak di bidang Perusahaan Mikro dan Kecil (Supplier dan Non-Konstruksi) (Tidak diketahui)."
"Dimana lokasi atau provinsi INDOTAMA SAKTI SEJAHTERA?","INDOTAMA SAKTI SEJAHTERA berlokasi di Jawa Barat."
"Apa kualifikasi perusahaan untuk INDOTAMA SAKTI SEJAHTERA?","Kualifikasi perusahaan INDOTAMA SAKTI SEJAHTERA adalah PT."
"Siapa INDAH MEGAH DESAIN?","INDAH MEGAH DESAIN adalah vendor dengan status Registered, kualifikasi PT, di bidang Supplier Menengah,, berlokasi di Jawa Barat. Kode SBU: BG009."
"Bagaimana status rekanan INDAH MEGAH DESAIN?","INDAH MEGAH DESAIN memiliki status rekanan Registered."
"Apa bidang usaha INDAH MEGAH DESAIN?","INDAH MEGAH DESAIN bergerak di bidang Supplier Menengah, (Tidak diketahui)."
"Dimana lokasi atau provinsi INDAH MEGAH DESAIN?","INDAH MEGAH DESAIN berlokasi di Jawa Barat."
"Apa kualifikasi perusahaan untuk INDAH MEGAH DESAIN?","Kualifikasi perusahaan INDAH MEGAH DESAIN adalah PT."
"Siapa FASIH PASER BERJAYA?","FASIH PASER BERJAYA adalah vendor dengan status Unverified, kualifikasi CV, di bidang Sub Kontraktor Kecil dan Menengah, berlokasi di Lampung. Kode SBU: BS001."
"Bagaimana status rekanan FASIH PASER BERJAYA?","FASIH PASER BERJAYA memiliki status rekanan Unverified."
"Apa bidang usaha FASIH PASER BERJAYA?","FASIH PASER BERJAYA bergerak di bidang Sub Kontraktor Kecil dan Menengah (ASPHALT, SUPPLIER)."
"Dimana lokasi atau provinsi FASIH PASER BERJAYA?","FASIH PASER BERJAYA berlokasi di Lampung."
"Apa kualifikasi perusahaan untuk FASIH PASER BERJAYA?","Kualifikasi perusahaan FASIH PASER BERJAYA adalah CV."
"Siapa DUTA BUANA PERMATA?","DUTA BUANA PERMATA adalah vendor dengan status Rekanan Terdaftar, kualifikasi PT, di bidang Sub Kontraktor Kecil dan Menengah, berlokasi di Sumatera Selatan. Kode SBU: BG009."
"Bagaimana status rekanan DUTA BUANA PERMATA?","DUTA BUANA PERMATA memiliki status rekanan Rekanan Terdaftar."
"Apa bidang usaha DUTA BUANA PERMATA?","DUTA BUANA PERMATA bergerak di bidang Sub Kontraktor Kecil dan Menengah (Tidak diketahui)."
"Dimana lokasi atau provinsi DUTA BUANA PERMATA?","DUTA BUANA PERMATA berlokasi di Sumatera Selatan."
"Apa kualifikasi perusahaan untuk DUTA BUANA PERMATA?","Kualifikasi perusahaan DUTA BUANA PERMATA adalah PT."
"Siapa FARAMA MITRA MANDIRI?","FARAMA MITRA MANDIRI adalah vendor dengan status Calon Rekanan Waskita Approved Level 1, kualifikasi PT, di bidang Sub Kontraktor Besar, berlokasi di Banten. Kode SBU: BG009."
"Bagaimana status rekanan FARAMA MITRA MANDIRI?","FARAMA MITRA MANDIRI memiliki status rekanan Calon Rekanan Waskita Approved Level 1."
"Apa bidang usaha FARAMA MITRA MANDIRI?","FARAMA MITRA MANDIRI bergerak di bidang Sub Kontraktor Besar (Tidak diketahui)."
"Dimana lokasi atau provinsi FARAMA MITRA MANDIRI?","FARAMA MITRA MANDIRI berlokasi di Banten."
"Apa kualifikasi perusahaan untuk FARAMA MITRA MANDIRI?","Kualifikasi perusahaan FARAMA MITRA MANDIRI adalah PT."
"Siapa MEKAR SARI?","MEKAR SARI adalah vendor dengan status Registered, kualifikasi CV, di bidang Jasa Khusus Menengah dan Besar - Non Konstruksi, berlokasi di DKI Jakarta. Kode SBU: KK001."
"Bagaimana status rekanan MEKAR SARI?","MEKAR SARI memiliki status rekanan Registered."
"Apa bidang usaha MEKAR SARI?","MEKAR SARI bergerak di bidang Jasa Khusus Menengah dan Besar - Non Konstruksi (Tidak diketahui)."
"Dimana lokasi atau provinsi MEKAR SARI?","MEKAR SARI berlokasi di DKI Jakarta."
"Apa kualifikasi perusahaan untuk MEKAR SARI?","Kualifikasi perusahaan MEKAR SARI adalah CV."
"Siapa GENTA MULTI JAYYA?","GENTA MULTI JAYYA adalah vendor dengan status Unverified, kualifikasi PT, di bidang Supplier, berlokasi di Sumatera Barat West. Kode SBU: BG003."
"Bagaimana status rekanan GENTA MULTI JAYYA?","GENTA MULTI JAYYA memiliki status rekanan Unverified."
"Apa bidang usaha GENTA MULTI JAYYA?","GENTA MULTI JAYYA bergerak di bidang Supplier (Tidak diketahui)."
"Dimana lokasi atau provinsi GENTA MULTI JAYYA?","GENTA MULTI JAYYA berlokasi di Sumatera Barat West."
"Apa kualifikasi perusahaan untuk GENTA MULTI JAYYA?","Kualifikasi perusahaan GENTA MULTI JAYYA adalah PT."
"Siapa Panata Bayu Nugraha?","Panata Bayu Nugraha adalah vendor dengan status Registered, kualifikasi PT, di bidang Sub Kontraktor Kecil dan Menengah, berlokasi di Banten. Kode SBU: IN008."
"Bagaimana status rekanan Panata Bayu Nugraha?","Panata Bayu Nugraha memiliki status rekanan Registered."
