Pertanyaan,Jawaban
"Berikan informasi lengkap tentang PRASTIMIARSO","PRASTIMIARSO adalah vendor dengan status Rekanan Terdaftar, di bidang Supplier Besar, berlokasi di Kalimantan Timur Eas. Status CQSMS: Supplier : 39 Low Risk (Version 3). Industry: ELECTRICAL PANELS ( HV , MV , LV ), SUPPLIER ;. Kode SBU: BG009."
"Siapa Cipta Graha Kreasitama?","Cipta Graha Kreasitama adalah vendor dengan status Registered, di bidang Supplier Menengah, berlokasi di DKI Jakarta Jakarta. Kode SBU: BS002."
"Apa status rekanan Cipta Graha Kreasitama?","Cipta Graha Kreasitama memiliki status rekanan Registered."
"Apa bidang usaha Cipta Graha Kreasitama?","Cipta Graha Kreasitama bergerak di bidang Supplier Menengah."
"Dimana lokasi Cipta Graha Kreasitama?","Cipta Graha Kreasitama berlokasi di DKI Jakarta Jakarta."
"Cari vendor Cipta Graha Kreasitama","Cipta Graha Kreasitama adalah vendor dengan status Registered, di bidang Supplier Menengah, berlokasi di DKI Jakarta Jakarta. Kode SBU: BS002."
"Berikan informasi lengkap tentang Cipta Graha Kreasitama","Cipta Graha Kreasitama adalah vendor dengan status Registered, di bidang Supplier Menengah, berlokasi di DKI Jakarta Jakarta. Kode SBU: BS002."
"Siapa BERSAMA BANGUN KARYA?","BERSAMA BANGUN KARYA adalah vendor dengan status Rekanan Terdaftar, di bidang Supplier Menengah, berlokasi di Jawa Tengah Central. Status CQSMS: Supplier : 60 Low Risk (Version 1). Industry: BETON READY MIX, SUPPLIER. Kode SBU: BG009."
"Apa status rekanan BERSAMA BANGUN KARYA?","BERSAMA BANGUN KARYA memiliki status rekanan Rekanan Terdaftar."
"Apa bidang usaha BERSAMA BANGUN KARYA?","BERSAMA BANGUN KARYA bergerak di bidang Supplier Menengah."
"Dimana lokasi BERSAMA BANGUN KARYA?","BERSAMA BANGUN KARYA berlokasi di Jawa Tengah Central."
"Apa status CQSMS BERSAMA BANGUN KARYA?","BERSAMA BANGUN KARYA memiliki status CQSMS: Supplier : 60 Low Risk (Version 1)."
"Apa industry key BERSAMA BANGUN KARYA?","BERSAMA BANGUN KARYA memiliki industry key: BETON READY MIX, SUPPLIER."
"Cari vendor BERSAMA BANGUN KARYA","BERSAMA BANGUN KARYA adalah vendor dengan status Rekanan Terdaftar, di bidang Supplier Menengah, berlokasi di Jawa Tengah Central. Status CQSMS: Supplier : 60 Low Risk (Version 1). Industry: BETON READY MIX, SUPPLIER. Kode SBU: BG009."
"Berikan informasi lengkap tentang BERSAMA BANGUN KARYA","BERSAMA BANGUN KARYA adalah vendor dengan status Rekanan Terdaftar, di bidang Supplier Menengah, berlokasi di Jawa Tengah Central. Status CQSMS: Supplier : 60 Low Risk (Version 1). Industry: BETON READY MIX, SUPPLIER. Kode SBU: BG009."
"Siapa PT KARSA INDRA SEJAHTERA?","PT KARSA INDRA SEJAHTERA adalah vendor dengan status Rekanan Terdaftar, di bidang Sub Kontraktor Kecil dan Menengah, berlokasi di Jawa Barat West Java. Status CQSMS: Sub Kontraktor : 65 Medium Risk (Version 1). Industry: KONSTRUKSI JPO, SUBKON. Kode SBU: BG001."
"Apa status rekanan PT KARSA INDRA SEJAHTERA?","PT KARSA INDRA SEJAHTERA memiliki status rekanan Rekanan Terdaftar."
"Apa bidang usaha PT KARSA INDRA SEJAHTERA?","PT KARSA INDRA SEJAHTERA bergerak di bidang Sub Kontraktor Kecil dan Menengah."
"Dimana lokasi PT KARSA INDRA SEJAHTERA?","PT KARSA INDRA SEJAHTERA berlokasi di Jawa Barat West Java."
"Apa status CQSMS PT KARSA INDRA SEJAHTERA?","PT KARSA INDRA SEJAHTERA memiliki status CQSMS: Sub Kontraktor : 65 Medium Risk (Version 1)."
"Apa industry key PT KARSA INDRA SEJAHTERA?","PT KARSA INDRA SEJAHTERA memiliki industry key: KONSTRUKSI JPO, SUBKON."
"Cari vendor PT KARSA INDRA SEJAHTERA","PT KARSA INDRA SEJAHTERA adalah vendor dengan status Rekanan Terdaftar, di bidang Sub Kontraktor Kecil dan Menengah, berlokasi di Jawa Barat West Java. Status CQSMS: Sub Kontraktor : 65 Medium Risk (Version 1). Industry: KONSTRUKSI JPO, SUBKON. Kode SBU: BG001."
"Berikan informasi lengkap tentang PT KARSA INDRA SEJAHTERA","PT KARSA INDRA SEJAHTERA adalah vendor dengan status Rekanan Terdaftar, di bidang Sub Kontraktor Kecil dan Menengah, berlokasi di Jawa Barat West Java. Status CQSMS: Sub Kontraktor : 65 Medium Risk (Version 1). Industry: KONSTRUKSI JPO, SUBKON. Kode SBU: BG001."
"Siapa GLORIOUS CASANA?","GLORIOUS CASANA adalah vendor dengan status Rekanan Terdaftar, di bidang Supplier Besar, berlokasi di DKI Jakarta Jakarta. Status CQSMS: Supplier : 57 Medium Risk (Version 3). Industry: PIPA HDPE & VALVE FITTINGS, SUPPLIER ;. Kode SBU: BS005."
"Apa status rekanan GLORIOUS CASANA?","GLORIOUS CASANA memiliki status rekanan Rekanan Terdaftar."
"Apa bidang usaha GLORIOUS CASANA?","GLORIOUS CASANA bergerak di bidang Supplier Besar."
"Dimana lokasi GLORIOUS CASANA?","GLORIOUS CASANA berlokasi di DKI Jakarta Jakarta."
"Apa status CQSMS GLORIOUS CASANA?","GLORIOUS CASANA memiliki status CQSMS: Supplier : 57 Medium Risk (Version 3)."
"Apa industry key GLORIOUS CASANA?","GLORIOUS CASANA memiliki industry key: PIPA HDPE & VALVE FITTINGS, SUPPLIER ;."
"Cari vendor GLORIOUS CASANA","GLORIOUS CASANA adalah vendor dengan status Rekanan Terdaftar, di bidang Supplier Besar, berlokasi di DKI Jakarta Jakarta. Status CQSMS: Supplier : 57 Medium Risk (Version 3). Industry: PIPA HDPE & VALVE FITTINGS, SUPPLIER ;. Kode SBU: BS005."
"Berikan informasi lengkap tentang GLORIOUS CASANA","GLORIOUS CASANA adalah vendor dengan status Rekanan Terdaftar, di bidang Supplier Besar, berlokasi di DKI Jakarta Jakarta. Status CQSMS: Supplier : 57 Medium Risk (Version 3). Industry: PIPA HDPE & VALVE FITTINGS, SUPPLIER ;. Kode SBU: BS005."
"Siapa SILUGONGGO CIPTA KARYA?","SILUGONGGO CIPTA KARYA adalah vendor dengan status Rekanan Terdaftar, di bidang Perusahaan Mikro dan Kecil (Supplier dan Non-Konstruksi), berlokasi di Banten. Kode SBU: BG006."
"Apa status rekanan SILUGONGGO CIPTA KARYA?","SILUGONGGO CIPTA KARYA memiliki status rekanan Rekanan Terdaftar."
"Apa bidang usaha SILUGONGGO CIPTA KARYA?","SILUGONGGO CIPTA KARYA bergerak di bidang Perusahaan Mikro dan Kecil (Supplier dan Non-Konstruksi)."
"Dimana lokasi SILUGONGGO CIPTA KARYA?","SILUGONGGO CIPTA KARYA berlokasi di Banten."
"Cari vendor SILUGONGGO CIPTA KARYA","SILUGONGGO CIPTA KARYA adalah vendor dengan status Rekanan Terdaftar, di bidang Perusahaan Mikro dan Kecil (Supplier dan Non-Konstruksi), berlokasi di Banten. Kode SBU: BG006."
"Berikan informasi lengkap tentang SILUGONGGO CIPTA KARYA","SILUGONGGO CIPTA KARYA adalah vendor dengan status Rekanan Terdaftar, di bidang Perusahaan Mikro dan Kecil (Supplier dan Non-Konstruksi), berlokasi di Banten. Kode SBU: BG006."
"Siapa ABDI LESTARI?","ABDI LESTARI adalah vendor dengan status Rekanan Terdaftar, di bidang Sub Kontraktor Kecil dan Menengah, berlokasi di DKI Jakarta Jakarta. Status CQSMS: Sub Kontraktor : 78 High Risk (Version 3). Industry: ERECTION GIRDER, SUBKON. Kode SBU: BS010."
"Apa status rekanan ABDI LESTARI?","ABDI LESTARI memiliki status rekanan Rekanan Terdaftar."
"Apa bidang usaha ABDI LESTARI?","ABDI LESTARI bergerak di bidang Sub Kontraktor Kecil dan Menengah."
"Dimana lokasi ABDI LESTARI?","ABDI LESTARI berlokasi di DKI Jakarta Jakarta."
"Apa status CQSMS ABDI LESTARI?","ABDI LESTARI memiliki status CQSMS: Sub Kontraktor : 78 High Risk (Version 3)."
"Apa industry key ABDI LESTARI?","ABDI LESTARI memiliki industry key: ERECTION GIRDER, SUBKON."
"Cari vendor ABDI LESTARI","ABDI LESTARI adalah vendor dengan status Rekanan Terdaftar, di bidang Sub Kontraktor Kecil dan Menengah, berlokasi di DKI Jakarta Jakarta. Status CQSMS: Sub Kontraktor : 78 High Risk (Version 3). Industry: ERECTION GIRDER, SUBKON. Kode SBU: BS010."
"Berikan informasi lengkap tentang ABDI LESTARI","ABDI LESTARI adalah vendor dengan status Rekanan Terdaftar, di bidang Sub Kontraktor Kecil dan Menengah, berlokasi di DKI Jakarta Jakarta. Status CQSMS: Sub Kontraktor : 78 High Risk (Version 3). Industry: ERECTION GIRDER, SUBKON. Kode SBU: BS010."
"Siapa ARKONS SATYA KONSULTAN?","ARKONS SATYA KONSULTAN adalah vendor dengan status Calon Rekanan Waskita Approved Level 1, di bidang Supplier Menengah, berlokasi di DKI Jakarta Jakarta. Kode SBU: RK002."
"Apa status rekanan ARKONS SATYA KONSULTAN?","ARKONS SATYA KONSULTAN memiliki status rekanan Calon Rekanan Waskita Approved Level 1."
"Apa bidang usaha ARKONS SATYA KONSULTAN?","ARKONS SATYA KONSULTAN bergerak di bidang Supplier Menengah."
"Dimana lokasi ARKONS SATYA KONSULTAN?","ARKONS SATYA KONSULTAN berlokasi di DKI Jakarta Jakarta."
"Cari vendor ARKONS SATYA KONSULTAN","ARKONS SATYA KONSULTAN adalah vendor dengan status Calon Rekanan Waskita Approved Level 1, di bidang Supplier Menengah, berlokasi di DKI Jakarta Jakarta. Kode SBU: RK002."
"Berikan informasi lengkap tentang ARKONS SATYA KONSULTAN","ARKONS SATYA KONSULTAN adalah vendor dengan status Calon Rekanan Waskita Approved Level 1, di bidang Supplier Menengah, berlokasi di DKI Jakarta Jakarta. Kode SBU: RK002."
"Siapa TIRTA BUMI NAGA?","TIRTA BUMI NAGA adalah vendor dengan status Rekanan Terdaftar, di bidang Supplier Menengah, berlokasi di DKI Jakarta Jakarta. Status CQSMS: Supplier : 75 High Risk (Version 3). Industry: PIPA BLACKSTEEL & GALVANIS & VALVE FITTINGS, SUPPLIER ;. Kode SBU: BG003."
"Apa status rekanan TIRTA BUMI NAGA?","TIRTA BUMI NAGA memiliki status rekanan Rekanan Terdaftar."
"Apa bidang usaha TIRTA BUMI NAGA?","TIRTA BUMI NAGA bergerak di bidang Supplier Menengah."
"Dimana lokasi TIRTA BUMI NAGA?","TIRTA BUMI NAGA berlokasi di DKI Jakarta Jakarta."
"Apa status CQSMS TIRTA BUMI NAGA?","TIRTA BUMI NAGA memiliki status CQSMS: Supplier : 75 High Risk (Version 3)."
"Apa industry key TIRTA BUMI NAGA?","TIRTA BUMI NAGA memiliki industry key: PIPA BLACKSTEEL & GALVANIS & VALVE FITTINGS, SUPPLIER ;."
"Cari vendor TIRTA BUMI NAGA","TIRTA BUMI NAGA adalah vendor dengan status Rekanan Terdaftar, di bidang Supplier Menengah, berlokasi di DKI Jakarta Jakarta. Status CQSMS: Supplier : 75 High Risk (Version 3). Industry: PIPA BLACKSTEEL & GALVANIS & VALVE FITTINGS, SUPPLIER ;. Kode SBU: BG003."
"Berikan informasi lengkap tentang TIRTA BUMI NAGA","TIRTA BUMI NAGA adalah vendor dengan status Rekanan Terdaftar, di bidang Supplier Menengah, berlokasi di DKI Jakarta Jakarta. Status CQSMS: Supplier : 75 High Risk (Version 3). Industry: PIPA BLACKSTEEL & GALVANIS & VALVE FITTINGS, SUPPLIER ;. Kode SBU: BG003."
"Siapa TENSINDO KREASI NUSANTARA?","TENSINDO KREASI NUSANTARA adalah vendor dengan status Unverified, di bidang Supplier Menengah, berlokasi di Jawa Barat West Java. Kode SBU: BS002."
"Apa status rekanan TENSINDO KREASI NUSANTARA?","TENSINDO KREASI NUSANTARA memiliki status rekanan Unverified."
"Apa bidang usaha TENSINDO KREASI NUSANTARA?","TENSINDO KREASI NUSANTARA bergerak di bidang Supplier Menengah."
